content_asli,teks_bersih,score,sentimen,at,panjang_asli,panjang_bersih,thumbsUpCount
ontime,ontime,5,Positif,2026-05-14 11:35:47,1,1,0
hati hati yg nyimpen uang di shopepay uang bakal hilang,hati hati nyimpen uang shopepay uang bakal hilang,1,Negatif,2026-05-14 11:32:55,10,8,0
sialan loncat ke aplikasi ini melulu..,sial loncat melulu,1,Negatif,2026-05-14 11:28:52,6,3,0
"bagus, cuman banyak penipuanya",bagus cuman banyak penipuanya,5,Positif,2026-05-14 11:28:37,4,4,0
penjualan bagus tapi sayang jasa kirim SPX Mohon diganti suka retur paket sepihak,jual bagus sayang jasa kirim spx mohon ganti suka retur paket pihak,4,Positif,2026-05-14 11:28:10,13,12,0
"Ekspedisi SPX dibagian pulau Sulawesi khususnya Gorontalo sangat buruk, paket banyak yang direturn dan gak pelayanannya tidak ramah. tolong untuk pihak shopee agar bisa bekerja sama lagi dengan pihak Ekspedisi lainnya. jujur udah 5 tahun pakai aplikasi ini nanti pas shopee udah gak kerja sama dengan ekspedisi lain paket banyak yg tertunda pengirimnya.",ekspedisi spx bagi pulau sulawesi khusus gorontalo sangat buruk paket banyak direturn tidak layan tidak ramah pihak kerja sama pihak ekspedisi lain jujur tahun pakai pas tidak kerja sama ekspedisi paket banyak tunda kirim,2,Negatif,2026-05-14 11:27:34,53,34,0
bagus .. sangat bermanfaat..membuat hidup praktis,bagus sangat manfaat buat hidup praktis,4,Positif,2026-05-14 11:26:16,6,6,0
sangat puas belanja cukup dari rumah,sangat puas belanja cukup rumah,5,Positif,2026-05-14 11:26:15,6,5,0
"Pengiriman Sangat Lambat Tidak Sesuai Jadwal pengiriman, Keterlambatan Pengiriman Lebih 1 hari dari Jadwal pengiriman.",kirim sangat lambat tidak sesuai jadwal kirim lambat kirim lebih hari jadwal kirim,1,Negatif,2026-05-14 11:24:39,15,13,0
sekarang sejak ada tiktok pelayanan agak lama jdi sesuatu yg tdinya penting jdi biasa aja.....,sekarang sejak tiktok layan lama jdi tdinya penting jdi biasa,4,Positif,2026-05-14 11:24:17,15,10,0
belanja jadi lebih mudah,belanja jadi lebih mudah,5,Positif,2026-05-14 11:23:37,4,4,0
"setiap belanja di Shopee paket saya selalu stuck di dc lebih dari sebulan dan berakhir di kembalikan ke toko, tim jasa kirim juga tidak bertanggung jawab dan tidak kompeten, saya tidak recomend untuk belanja di apk ini",belanja paket selalu stuck dc lebih bulan akhir kembali toko tim jasa kirim tidak tanggung jawab tidak kompeten tidak recomend belanja,1,Negatif,2026-05-14 11:21:15,37,21,0
apk nya mantap lah,bagus,5,Positif,2026-05-14 11:20:42,4,1,0
aktifkan spaylater dong,aktif spaylater,5,Positif,2026-05-14 11:20:39,3,2,0
"akhir' ini belanja di shopee ga banget dehh, masa paket aku ada 2 di toko berbeda trus pas pengantaran kok ga sampe', eh tiba' ada info bahwa paket aku udah di retur karna konsumen(aku) ga terima?!! aneh banget padahal aku udah tunggu' tapi malah dapat info di retur!!!",akhir belanja tidak banget dehh masa paket toko beda trus pas antar kok tidak sampe eh tiba info paket retur konsumen tidak terima aneh banget padahal tunggu malah info retur,2,Negatif,2026-05-14 11:16:52,48,30,0
ni aplikasi selalu muncul pas lagi enak²main game tolok cepetan perbaiki mana orang salam²orang udah selesai Ramadhan😹😹😹👎👎👎👎👎👎,ni selalu muncul pas enak main game tolok cepetan baik mana orang salam orang selesai ramadhan,1,Negatif,2026-05-14 11:14:58,17,16,0
oke baik,baik,5,Positif,2026-05-14 11:14:29,2,1,0
puas gue belanja di shopee mantap👍,puas gue belanja bagus,5,Positif,2026-05-14 11:11:52,6,4,0
Okay banget,okay banget,5,Positif,2026-05-14 11:11:44,2,2,0
sophee banyak promo,sophee banyak promo,5,Positif,2026-05-14 11:11:11,3,3,0
seruuu,seruuu,5,Positif,2026-05-14 11:10:11,1,1,0
aga ngebak dikit ni apk,aga ngebak dikit ni,5,Positif,2026-05-14 11:09:51,5,4,0
mantap apk,bagus,5,Positif,2026-05-14 11:09:51,2,1,0
membantu kebutuhan,bantu butuh,5,Positif,2026-05-14 11:09:33,2,2,0
"saya membatalkan pesanan di tanggal 12-05-2026 tp sudah saya bayar,, tp proses pengembalian dana sampai hari ini tanggal 14-95-2026 belum saya terima.",batal pesan tanggal bayar proses kembali dana hari tanggal belum terima,2,Negatif,2026-05-14 11:09:02,22,11,0
mesen barang di sini bikin rugi penjual salah kirim barang saya sudah mengajukan retur tapi di tolak oleh sistem shopee harga barang juga gk murah lagi gk jelas emang admin toko oren padahal saya udah ada vidio unboxsing besarta foto resi dll,mesen barang sini bikin rugi jual salah kirim barang aju retur tolak sistem harga barang tidak murah tidak jelas memang admin toko oren padahal vidio unboxsing besarta foto resi,1,Negatif,2026-05-14 11:03:28,42,29,0
iklan lu gk ngotak pindah apk sendiri,iklan lu tidak ngotak pindah sendiri,1,Negatif,2026-05-14 10:59:42,7,6,0
"pembatalan ribet banget, ngga lagi deh pake apk ini.",batal ribet banget tidak pake,1,Negatif,2026-05-14 10:58:11,9,5,0
shopee sekarang kenapa kalau ada pengajuan barang atau refund banyak sekali potongannya sampe 40ribuan sadis banget,sekarang kalau aju barang refund banyak sekali potong sampe ribu sadis banget,1,Negatif,2026-05-14 10:57:11,16,12,0
Shopee lengkap paling mudah blnja online dsni,lengkap paling mudah blnja online dsni,5,Positif,2026-05-14 10:55:05,7,6,0
"shopee lu parah bangetlah, iklan lu di mana2 ampe ke wattpad segala lu pasang iklan agresif betul ampe bisa mindahin aplikasi sendiri. lagi baca tiba2 iklan lu muncul dan langsung otomatis ke apk shopee, Lama-lama ganggu lu, gw uninstall juga ni apk. skrng ada tiktokshop lu ngga usah sok ye",lu buruk banget iklan lu mana ampe wattpad segala lu pasang iklan agresif betul ampe mindahin sendiri baca tiba iklan lu muncul langsung otomatis lama lama ganggu lu gw uninstall ni sekarang tiktokshop lu tidak usah sok ye,1,Negatif,2026-05-14 10:44:46,50,38,0
"Voucher abal abal, voucher ganti rugo keterlabatan pengiriman 10.000, masih diberi syarat belanja 120.000 baru bisa dipakai (miskin banget) shopeenya. gantibrugi itu seharusnya tanpa syarat. bagian pembuat voucher pasti miskin hati, ibarat dpt gratis makan 1 piring tapi syaratnya harus beli 6 piring. goblol amat...",voucher abal abal voucher ganti rugo keterlabatan kirim beri syarat belanja baru pakai miskin banget shopeenya gantibrugi tanpa syarat bagi buat voucher miskin hati ibarat gratis makan piring syarat beli piring goblol,1,Negatif,2026-05-14 10:44:30,45,32,0
"sekarang ini agak terlambat pengiriman barang nya ,kalo dulu kerja sama dengan JNT,sekarang JNE,tapi lelet,pesanan bisa 1 Minggu sampe nya,di rubah terus tangal sampai tujuan nya ,ganti aja kerja sama nya shope,dengan paket jet tempur ,biar bisa sampai hitungan jam",sekarang lambat kirim barang kalau dulu kerja sama jnt sekarang jne lambat pesan minggu sampe rubah terus tangal tuju ganti kerja sama paket jet tempur biar hitung jam,5,Positif,2026-05-14 10:40:07,40,28,0
Mantaaap,mantaaap,5,Positif,2026-05-14 10:40:01,1,1,0
pihak shoopee tolong matikan fitur chat Ai karna menyusahkan baik pembeli maupun penjual karna balasan dari Ai sangat ngawur,pihak shoopee mati fitur chat ai susah baik beli maupun jual balas ai sangat ngawur,2,Negatif,2026-05-14 10:38:46,19,15,0
memudahkan,mudah,5,Positif,2026-05-14 10:35:53,1,1,0
adain fitur dana buat bayar makanan pls,adain fitur dana buat bayar makan pls,5,Positif,2026-05-14 10:34:47,7,7,0
👍👍👍,,5,Positif,2026-05-14 10:27:49,1,0,0
pelayanan belanja di toko sangat bagus dan cepat.,layan belanja toko sangat bagus cepat,5,Positif,2026-05-14 10:26:05,8,6,0
"mantap, terima kasih ☺️",bagus terima kasih,5,Positif,2026-05-14 10:25:26,4,3,0
Lanjutkan dan jaya trus kaka,lanjut jaya trus kaka,5,Positif,2026-05-14 10:23:32,5,4,0
saya sangat suka berbelanja di shopee...sangat membantu,sangat suka belanja sangat bantu,5,Positif,2026-05-14 10:22:31,7,5,0
tempat belanja online nomer satu sampai saat ini,tempat belanja online nomer satu,5,Positif,2026-05-14 10:19:52,8,5,0
"paket 2hari stuck di tempat yg sama via SPX, kurir lo itu niat kerja gk, atau ada indikasi maling paket, dah gitu ga bisa di ambil lagi kalo masih DC, minimal buat bisa di ambil lah",paket hari stuck tempat sama via spx kurir lo niat kerja tidak indikasi maling paket dah gitu tidak ambil kalau dc minimal buat ambil,1,Negatif,2026-05-14 10:17:46,36,24,0
rusak nih,rusak,1,Negatif,2026-05-14 10:17:16,2,1,0
lengkap barang2nya yg kita butuhkan dgn harga yg terjangkau,lengkap barang butuh harga jangkau,5,Positif,2026-05-14 10:15:06,9,5,0
Bagus sekali... simpel dan handal di semua tone nya 😎👍,bagus sekali simpel handal semua tone,5,Positif,2026-05-14 10:14:27,10,6,0
sangat puas apa yang saya suka smua ada di sini,sangat puas apa suka smua sini,5,Positif,2026-05-14 10:10:31,10,6,0
"ngak tau kenapa ke blokir ngak jelas, padahal ngak ada jual apapun, pake voucher apapun.",ngak tau blokir ngak jelas padahal ngak jual apa pake voucher apa,1,Negatif,2026-05-14 10:08:28,15,12,0
"ini kok shope akhir2 ini mulai menurun kinerja nya yah, saya sudah pesan ketiga kalinya tapi selalu barang tidak sampai dan hilang, kasian bnyak pihak yang dirugikan. mana disemua aplikasi ada iklan shope yang menganggu:') smoga shopee bisa lebih baik lagi",kok akhir mulai turun kerja pesan tiga kali selalu barang tidak hilang kasi bnyak pihak rugi mana semua iklan menganggu smoga lebih baik,1,Negatif,2026-05-14 10:05:21,41,23,0
belanja online di shopee sangat memuaskan banget terima kasih shopee,belanja online sangat muas banget terima kasih,5,Positif,2026-05-14 10:03:42,10,7,0
dah bikin ngelag ganggu lagi dan belum tentu aman,dah bikin ngelag ganggu belum aman,1,Negatif,2026-05-14 10:03:22,9,6,0
"Kalo di pake nge-lag/lemot, kalo habis keluar sebentar buka aplikasi lain terus buka shopee lagi lemot/nge-lag Sering belanja di Shopee tapi kenapa ada kendala sistem, udah di bayar di M-Banking dah kepotong tapi status belum berubah jadi Pembayaran selesai. Mana pengembalian dana nya lama pula, kenapa harus 1×24 jam kenapa ga langsung ketika di sistem kebaca gagal tapi di M-Banking dah kepotong",kalau pake nge lag lambat kalau habis keluar sebentar buka terus buka lambat nge lag sering belanja kendala sistem bayar banking dah potong status belum ubah jadi bayar selesai mana kembali dana lama jam tidak langsung sistem baca gagal banking dah potong,1,Negatif,2026-05-14 10:03:22,62,42,0
shope paling mengerti kebutuhan kita,paling erti butuh,5,Positif,2026-05-14 10:03:18,5,3,0
pelayanan shopee sangat baik,layan sangat baik,5,Positif,2026-05-14 10:01:32,4,3,0
shopee memang keren dan bagus,memang keren bagus,5,Positif,2026-05-14 10:01:02,5,3,0
selalu ok,selalu,5,Positif,2026-05-14 09:57:37,2,1,0
God job,god job,4,Positif,2026-05-14 09:57:03,2,2,0
"saya sudah install dan menggunakanya 1 kali, aplikasi bagus bebas iklan yg mengganggu, cuma pada Hp Samsung J2 Pro sangat lemot dan banyak makan batere, jadi saya akali setelah transaksi saya uninstall. begitu seterusnya. pada keseluruhan aplikasi ini bagus, cuka hp saya yang kurang suport.",install menggunakanya kali bagus bebas iklan ganggu cuma hp samsung pro sangat lambat banyak makan batere jadi akal transaksi uninstall seluruh bagus cuka hp kurang suport,5,Positif,2026-05-14 09:56:37,45,26,0
"Kenapa sekarang klo pilih menu COD atau COD Cek dulu itu harga barang naik sekali. misalharga barang 33rb pas di pilih cod/cod cek dulu langsung berubah jadi 55rb untuk 1 barang. padahal dulu ga gitu, klo harga barang 33rb pilih cod/cod cek dl harga barang tdk berubah.",sekarang kalau pilih menu bayar tempat bayar tempat cek dulu harga barang naik sekali misalharga barang rb pas pilih bayar tempat bayar tempat cek dulu langsung ubah jadi rb barang padahal dulu tidak gitu kalau harga barang rb pilih bayar tempat bayar tempat cek dl harga barang tdk ubah,5,Positif,2026-05-14 09:53:12,47,49,1
saya puas belanja di sini harga nya murah- murah dan bagus bagus,puas belanja sini harga murah murah bagus bagus,5,Positif,2026-05-14 09:46:45,12,8,0
"shopee sudah tidak konsisten lagi,, untuk pengiriman di luar pulau tidak di layani dengan baik oleh jasa pengirimanya",tidak konsisten kirim luar pulau tidak layan baik jasa pengirimanya,1,Negatif,2026-05-14 09:42:07,18,10,0
"gini ya kalo ada nomer telepom tuh di kasi juga dong nomer kurir nya biar mempermudah terus juga di alamat detail nya di kasih yang banyak lah masa cuma beberapa kata jir apalah bikin emosi selalu banyak drama kalo di sini ntah kenapa, semoga bisa lebih baik",gin kalau nomer telepom tuh kasi nomer kurir biar mudah terus alamat detail kasih banyak masa cuma beberapa kata jir apa bikin emosi selalu banyak drama kalau sini ntah moga lebih baik,2,Negatif,2026-05-14 09:39:25,47,32,0
Aku Suka bgtt Sama Shopee Nya Aku Setiap Pesanan Selalu Amanah Dnk jga Repot Buat Pesanan Semua Produknya Ada..Jdi jgn Ragu Buat download Aplikasi Shopee Ini 🫶🫶,suka bgtt sama pesan selalu amanah dnk jga repot buat pesan semua produk jdi jgn ragu buat download,5,Positif,2026-05-14 09:38:44,27,18,0
"apk shopee ini bagi saya sangat lah membantu,disaat mau beli sesuatu,tdk ada,tpi di shopee slalu ada,mantap shopee 👍👍👍👍",sangat bantu saat mau beli tdk slalu bagus,5,Positif,2026-05-14 09:38:23,18,8,0
sangat buruk baru satu kali melakukan pemesanan barangnya udah gak sampe di tangan saya..,sangat buruk baru satu kali laku mesan barang tidak sampe tangan,1,Negatif,2026-05-14 09:37:42,14,11,0
"mantap,cuma kalo bisa buat yg friendly utk lansia, dg setelan bida mode gelap maklum lansia kendala dimata tq🙏",bagus cuma kalau buat friendly lansia setel bida mode gelap maklum lansia kendala mata tq,5,Positif,2026-05-14 09:30:34,18,15,0
"aplikasi belanja online buruk kadang orderan direktur jasa kirim tanpa alasan yang pasti, dan pengiriman barang terlalu lama bahkan melewati estimasi nya, pelayanan shoppe kurang responsif ketika minta bantuan 👎👎👎👎",belanja online buruk kadang order direktur jasa kirim tanpa alas kirim barang terlalu lama bahkan lewat estimasi layan kurang responsif minta bantu,1,Negatif,2026-05-14 09:28:37,30,22,9
"beli dengan promo, pas di beli promonya gak ada,",beli promo pas beli promonya tidak,1,Negatif,2026-05-14 09:28:10,9,6,0
sudah beberapa tahun ini sy merasa shopee semakin baik dalam pelayanan. dan secara pribadi saya merasa terbantu sekali dgn semua layanan di Shopee..terima kasih Shopee semoga makin baik lagi kedepannya.,beberapa tahun rasa makin baik layan pribadi rasa bantu sekali semua layan terima kasih moga makin baik depan,5,Positif,2026-05-14 09:25:50,30,18,0
jelekkkk,jelekkkk,1,Negatif,2026-05-14 09:21:12,1,1,1
shopee nya kurang bagus,kurang bagus,3,Netral,2026-05-14 09:20:54,4,2,0
shoppe tidak kondutif.. pengiriman slalu GK tepat..,tidak kondutif kirim slalu tidak tepat,1,Negatif,2026-05-14 09:20:38,7,6,0
"bagus,bisa beli barang yg diinginkan",bagus beli barang ingin,5,Positif,2026-05-14 09:19:36,5,4,0
Suka aja,suka,5,Positif,2026-05-14 09:17:51,2,1,0
"mau kirim gambar via chatting, loading mulu. udah clear cache, clear all data, update terbaru. masih saja",mau kirim gambar via chatting loading mulu clear cache clear all data update baru,3,Netral,2026-05-14 09:17:48,17,14,0
bagus bermanfaat poll🙏🙏,bagus manfaat poll,5,Positif,2026-05-14 09:17:17,3,3,0
"Bagus dan amanah,siap order lagi yuk",bagus amanah siap order yuk,5,Positif,2026-05-14 09:12:28,6,5,0
Pengiriman suka tertahan dan lewat estimasi barang tiba,kirim suka tahan lewat estimasi barang tiba,2,Negatif,2026-05-14 09:12:08,8,7,0
aplikasi yg bagus penjualan pada murah tapi masih ada aja toko yang masih tukang tipu barang tidak sesuai..,bagus jual murah toko tukang tipu barang tidak sesuai,5,Positif,2026-05-14 09:10:52,18,9,0
sangat buruk promo belum kepakai tiba-tiba habis. aplikasi lemot juga kebanyakan iklan,sangat buruk promo belum pakai tiba tiba habis lambat banyak iklan,1,Negatif,2026-05-14 09:06:40,12,11,0
gak bisa di batalin huuuu yang punya toko gak mau dengerin untungnya kesasar ke rumah lain🤣🤣🤣,tidak batalin huuuu punya toko tidak mau dengerin untung kesasar rumah,1,Negatif,2026-05-14 09:06:29,16,11,0
Layanannya bagus tapi game gamenya susah susah deh,layan bagus game gamenya susah susah,5,Positif,2026-05-14 09:03:36,8,6,0
aplikasinya tidak bisa menyelesaikan masalah,aplikasi tidak selesai masalah,1,Negatif,2026-05-14 09:03:14,5,4,0
belanja dishopee menguntungkan,belanja dishopee untung,5,Positif,2026-05-14 08:58:38,3,3,0
sukak lah sama pelayanannya,sukak sama layan,5,Positif,2026-05-14 08:58:34,4,3,0
"asal pinter milih olshop, sll dapat barang berkualitas",asal pinter milih olshop sll barang kualitas,5,Positif,2026-05-14 08:57:24,8,7,0
rusuh,rusuh,1,Negatif,2026-05-14 08:56:35,1,1,0
aplikasi ngk bisa pesan brng COD lbih dari 3 Pcs,ngk pesan brng bayar tempat lebih pcs,2,Negatif,2026-05-14 08:54:14,10,7,0
kok ga bisa download,kok tidak download,1,Negatif,2026-05-14 08:51:14,4,3,0
sangat mempermudah urusan,sangat mudah urus,5,Positif,2026-05-14 08:46:54,3,3,0
"customer tidak diperhatikan , barang datang cuma kertas permohonan maaf , saya ajukan pengembalian ditinjau sampai 1 minggu tidak selesai , customer service prioritas cm dihubungkan AI , saya kapok belanja disini , untung order spaylater , kl tidak diselesaikan saya ga akan bayar spaylaternya",customer tidak perhati barang datang cuma kertas mohon maaf aju kembali tinjau minggu tidak selesai customer service prioritas cm hubung ai kapok belanja sini untung order spaylater kalau tidak selesai tidak bayar spaylaternya,1,Negatif,2026-05-14 08:46:43,45,33,0
"baguss,kdng sukaa ada diskon dadakann,gratis ongkir teruss di akuu",baguss kdng sukaa diskon dadakann gratis ongkos kirim teruss akuu,5,Positif,2026-05-14 08:43:43,9,10,0
mantap shopee,bagus,5,Positif,2026-05-14 08:43:28,2,1,0
apk bagus membantu buat belanja online dan banyak diskon,bagus bantu buat belanja online banyak diskon,5,Positif,2026-05-14 08:42:36,9,7,0
shopee ini berguna banget untuk belanja dan barang barang nya pun juga lengkap,guna banget belanja barang barang lengkap,5,Positif,2026-05-14 08:39:17,13,6,0
"tolong dong skrg lelet banget Shopee nih, hemat kargo kenapa sih mesti nunggu besoknya heran, kadang lebih dari 3 hari, ga kayak dulu. shopeepay jg skrg kalau checkout barang meski saldo cukup gabisa harus dilebihin seribu, aneh bgt. tolong diperbaiki dong, kalah sm olshop sebelah yg sehari sampe, ini bs 3-4 hari padahal masih jabodetabek.",sekarang lambat banget hemat kargo mesti nunggu besok heran kadang lebih hari tidak kayak dulu shopeepay sekarang kalau checkout barang meski saldo cukup gabisa dilebihin ribu aneh banget baik kalah sama olshop belah hari sampe bs hari padahal jabodetabek,2,Negatif,2026-05-14 08:34:27,55,39,0
"Bagus banget aku dapet voucher banyak jadi banyak yang gratis, dan murah,",bagus banget voucher banyak jadi banyak gratis murah,5,Positif,2026-05-14 08:33:59,12,8,0
menarik ceritanya,tarik cerita,5,Positif,2026-05-14 08:33:57,2,2,0
"mempermudah dalam membeli hanya saja kadang harga murah ongkir mahal, maklum saya ditempat terpencil",mudah beli kadang harga murah ongkos kirim mahal maklum tempat pencil,5,Positif,2026-05-14 08:33:09,14,11,0
banyak promo itu doang wok,banyak promo doang wok,5,Positif,2026-05-14 08:28:04,5,4,0
"bagus banget apalagi waktu penggunaan pertama shopee harganya jadi murah, first time cobain ternyata lebih terjangkau, cukup rekomendasi apk ini!! dan banyak free ongkir nya!!",bagus banget waktu guna pertama harga jadi murah first time cobain nyata lebih jangkau cukup rekomendasi banyak free ongkos kirim,5,Positif,2026-05-14 08:27:15,25,20,0
"bisa nggak di aktifkan COD nya, karena di aplikasi shopee saya tidak aktif COD nya",tidak aktif bayar tempat tidak aktif bayar tempat,5,Positif,2026-05-14 08:26:33,15,8,0
shopee saya kok eror yaa jaringan bermasalah padahal saya pake wifi jaringan bagus kok bisa gitu jadi MLS pakek aplikasi shopee kalo dikit2 eror,kok eror yaa jaring masalah padahal pake wifi jaring bagus kok gitu jadi mls pakek kalau dikit eror,3,Netral,2026-05-14 08:23:13,24,18,0
cepat dan mudah berbelanja dishope,cepat mudah belanja dishope,5,Positif,2026-05-14 08:21:39,5,4,0
berbelanja jdi lbih mudah,belanja jdi lebih mudah,5,Positif,2026-05-14 08:15:38,4,4,0
"iklan kamu bikin kesel, aku lagi baca wattpad tiba tiba malah iklan ke kamu, mau sabar tapi ngga mau",iklan kamu bikin kesel baca wattpad tiba tiba malah iklan kamu mau sabar tidak mau,2,Negatif,2026-05-14 08:13:11,19,15,0
Sangat membantu dalam mencari perlengkapan pribadi atw rumah,sangat bantu cari lengkap pribadi atw rumah,4,Positif,2026-05-14 08:10:59,8,7,0
Paket sudah 3 hari tidak bergerak masih di Lampung DC dari tangga 11-05-26 dari jam 20.58,paket hari tidak gerak lampung dc tangga jam,1,Negatif,2026-05-14 08:10:50,16,8,0
belanja di shopee bisa gratis ongkir dan tidak jauh jauh lagi belanja,belanja gratis ongkos kirim tidak jauh jauh belanja,5,Positif,2026-05-14 08:09:12,12,8,0
pengiriman pesanan makin kesini kok lama...?,kirim pesan makin kesini kok lama,5,Positif,2026-05-14 08:08:23,6,6,0
barang sesuai pesanan,barang sesuai pesan,5,Positif,2026-05-14 08:02:06,3,3,0
belanja di shopee sangat praktis dan tidak ribet hanya pake jari lansung sampai di rumah,belanja sangat praktis tidak ribet pake jari lansung rumah,4,Positif,2026-05-14 08:01:29,15,9,0
"kenapa sekarang pengiriman ke lampung lama sekali kadang melebihi batas estimasi dan ada yg di cancel oleh pihak expedisi, ke lampung waykanan suka stuck di waykanan. coba perbaiki lagi untuk spx",sekarang kirim lampung lama sekali kadang lebih batas estimasi cancel pihak expedisi lampung waykanan suka stuck waykanan coba baik spx,4,Positif,2026-05-14 07:52:28,31,20,0
"aplikasi belanja yg bagus,tapi sayang shopee video yg sangat menggangu apalagi hp kentang kek sya,pengiriman juga sangat lambat dulu 7 hari sampai sekarang hampir 1 bulan",belanja bagus sayang video sangat menggangu hp kentang kek sya kirim sangat lambat dulu hari sekarang hampir bulan,4,Positif,2026-05-14 07:51:47,26,18,0
suka sekali,suka sekali,5,Positif,2026-05-14 07:50:50,2,2,0
menari,tari,2,Negatif,2026-05-14 07:50:10,1,1,0
rata2 bnyak yg bilang apk belanja bagus.. belum aja ngerasain proses pengembalian produk.. betul2 gak memihak pembeli.. mengerikan,rata bnyak bilang belanja bagus belum ngerasain proses kembali produk betul tidak pihak beli keri,1,Negatif,2026-05-14 07:49:08,18,15,0
pengirimannya lama sekali,kirim lama sekali,2,Negatif,2026-05-14 07:45:12,3,3,0
Aplikasi Olshop paling terpercaya,olshop paling percaya,5,Positif,2026-05-14 07:39:56,4,3,0
Lebih praktis,lebih praktis,5,Positif,2026-05-14 07:39:37,2,2,0
"apa gara gara ongkir di tanggung penjual harga cekout sama seperti toko offline, ya lebih milih beli toko offline",apa gara gara ongkos kirim tanggung jual harga cekout sama toko offline lebih milih beli toko offline,1,Negatif,2026-05-14 07:37:16,19,17,0
"Dari dulu sampai sekarang Shopee tetap menjadi pilihan no 1 untuk saya belanja online..karena di bandingkan dengan yang lain,shopee harganya paling murah dan barangnya sangat memuaskan..serta yang paling penting ada gratis ongkirnya!..pokoknya menang banyak dech belanja di shopee 👍",dulu sekarang tetap jadi pilih no belanja online banding harga paling murah barang sangat muas paling penting gratis ongkirnya pokok menang banyak dech belanja,5,Positif,2026-05-14 07:35:24,39,24,2
baguss seruuu murah murahhh😆,baguss seruuu murah murahhh,5,Positif,2026-05-14 07:33:53,4,4,0
"aplikasi bagus dan banyak barang yang dijual, tpi kok gw mau membatalkan pesan gk bisa udh 3x GK bisa dibatalin",bagus banyak barang jual kok gw mau batal pesan tidak tidak dibatalin,4,Positif,2026-05-14 07:30:39,20,12,0
"shopee sgt merakyat tapiiiii .... - masuk tahun 2026 sistem pengembalian dana dalam return produk sangat lambat. - tgl 7 retur - notif maks tgl 12 - tgl 14 masih belum selesai pengembalian dananya. - dulu secepat kilat skr selambat siput. - ayo skr tinjau kembali platform lain SPT lazada,Tokopedia,dll . - smg kedepannya ada platform lain yg sebanding/melebihi shopee kecewaaaaaa..... bgt",sgt rakyat tapiiiii masuk tahun sistem kembali dana return produk sangat lambat tgl retur notif maks tgl tgl belum selesai kembali dana dulu cepat kilat skr lambat siput ayo skr tinjau platform spt lazada tokopedia smg depan platform banding lebih kecewaaaaaa banget,2,Negatif,2026-05-14 07:30:20,62,42,0
shopee bnyk diskon,bnyk diskon,5,Positif,2026-05-14 07:22:33,3,2,0
shopi ini sangat bagus,shopi sangat bagus,5,Positif,2026-05-14 07:18:14,4,3,0
sangat memuaskan,sangat muas,5,Positif,2026-05-14 07:09:48,2,2,0
makinn kerenn,makinn kerenn,5,Positif,2026-05-14 07:05:37,2,2,0
aku ganti hp baru lalu buka shopee dengan hp baru itu tidak bisa...di arahkan verifikasi karena lupa paswort di shopee di hp yg lamu juga tidak bisa2 sampai sekarang..padahal aku sudah sampai ke tingkat platinum..syang sekali,ganti hp baru lalu buka hp baru tidak arah verifikasi lupa paswort hp lamu tidak sekarang padahal tingkat platinum syang sekali,5,Positif,2026-05-14 07:05:33,36,21,0
"shopee ni udh gila y masak kalo ada voucher potongan 5k 7k pasti GK bisa cod, kadang juga GK ada voucher nya GK bisa cod benar"" eror gila",ni gila masak kalau voucher potong tidak bayar tempat kadang tidak voucher tidak bayar tempat benar eror gila,1,Negatif,2026-05-14 07:04:23,28,18,0
"memang memuaskan labih praktis , mudah dan cepat dan terpercaya",memang muas labih praktis mudah cepat percaya,5,Positif,2026-05-14 07:02:37,10,7,0
bagus sangat,bagus sangat,4,Positif,2026-05-14 07:01:36,2,2,0
"Penguasa iklan udah kayak penjajah , di mana pun website selalu ada iklan shopee , buka shopee di jejali iklan , serakah bnget nih aplikasi buat ngeruk iklan di mana mana !!!!",kuasa iklan kayak jajah mana website selalu iklan buka jejal iklan serakah bnget buat ngeruk iklan mana mana,1,Negatif,2026-05-14 07:00:11,32,18,1
"Lelet bnget, makin lama makin banyak bug, mohon buat versi standarnya, dan dipisah. Untuk live sendiri, untuk jualan sendiri, untuk shopeePay sendiri. Jangan dijadikan satu, biar gak berat ni aplikasinha. Bukan masalah versi update, bahkan ini saya aupdate otomatis tiap waktu. terlalu banyak affiliator gak jelas bikin aplikasi makin parah.",lambat bnget makin lama makin banyak bug mohon buat versi standar pisah live sendiri jual sendiri shopeepay sendiri jangan jadi satu biar tidak berat ni aplikasinha bukan masalah versi update bahkan aupdate otomatis tiap waktu terlalu banyak affiliator tidak jelas bikin makin buruk,1,Negatif,2026-05-14 06:59:00,50,43,4
"gimana sih,mau daftar dari tadi nggak bisa bisa,baru di pencet aja kembali lagi,gitu terus dari tadi,padal memori hp 8/129 baru ke pakai 30,9 ,wifi normal aja lancar lancar aja,daftarnya susah tau nggak padal ,bukan caranya tapi,selalu aja balik lagi,gimana sih,bikin emosi aja",gimana mau daftar tadi tidak baru pencet gitu terus tadi padal memori hp baru pakai wifi normal lancar lancar daftar susah tau tidak padal bukan cara selalu balik gimana bikin emosi,2,Negatif,2026-05-14 06:54:53,42,31,0
pembelian apapun tidak di ragukan lagi seperti toko sebelah,beli apa tidak ragu toko belah,5,Positif,2026-05-14 06:51:20,9,6,0
shopee memberikan pelayanan dan barang barang yang menarik dan murah meriah walau ada kekurangannya sedikit 🙏👍,beri layan barang barang tarik murah riah kurang sedikit,5,Positif,2026-05-14 06:44:02,16,9,0
